nome_;genero_;desenvolvedor_;lancamento_;plataformas_
Apex Legends Adventure;Battle Royale;Mojang;2011;PlayStation
Assassin's Creed Reborn;Aventura;Mojang;2014;PlayStation 5
Grand Theft Auto Legends;MMORPG;Nintendo;2015;PlayStation 3
EVE Online Reborn;Esporte;Rockstar Games;1989;PlayStation 5
Assassin's Creed Saga;Terror;Bungie;1987;Xbox Series X
League of Legends Legends;Corrida;Nintendo;2017;Xbox
Elden Ring Reborn;Puzzle;Square Enix;1988;Mobile
The Sims Saga;Puzzle;Valve;2000;PlayStation 5
The Witcher Saga;Ação;Epic Games;1989;Xbox
Assassin's Creed Chronicles;Battle Royale;Bungie;2006;Wii U
Grand Theft Auto Infinity;Simulação;Mojang;2005;PC
Hades Adventure;Corrida;Bethesda Game Studios;2018;Xbox
Cyberpunk Chronicles;Puzzle;CD Projekt Red;2013;PlayStation 5
Fortnite Infinity;Corrida;Epic Games;1999;PlayStation 2
Grand Theft Auto Reborn;Esporte;Square Enix;2000;PlayStation 2
Among Us Saga;Sandbox;CD Projekt Red;2020;Xbox
EVE Online Adventure;Terror;Rockstar Games;2012;Xbox Series X
Elden Ring Legends;Sandbox;CD Projekt Red;2003;Nintendo Switch
Call of Duty Adventure;RPG;Ubisoft;2023;Xbox
Grand Theft Auto Legends;Corrida;Ubisoft;2000;Xbox
Fall Guys Odyssey;Puzzle;Nintendo;1996;PlayStation
Overwatch Reborn;Terror;Square Enix;2020;Wii U
Among Us Chronicles;Terror;Bethesda Game Studios;1997;Xbox 360
Assassin's Creed Chronicles;MMORPG;Activision;2010;Nintendo Switch
Apex Legends Legends;Puzzle;CD Projekt Red;2000;PlayStation 2
Fortnite Adventure;Simulação;Santa Monica Studio;2020;Wii U
PUBG Reborn;Sandbox;CD Projekt Red;2005;Xbox 360
The Sims Chronicles;Ação;Ubisoft;1991;Wii U
Fall Guys Legends;Puzzle;Activision;2015;PlayStation 3
EVE Online Odyssey;Ação;Bungie;1988;PC
Cyberpunk Reborn;FPS;Valve;1986;Wii U
The Witcher Reborn;Esporte;Activision;2018;PlayStation
Cyberpunk Origins;MMORPG;Ubisoft;2004;PlayStation
Call of Duty Legends;Puzzle;FromSoftware;2020;PlayStation 2
The Legend of Zelda Infinity;Battle Royale;Mojang;2001;PC
Cyberpunk Reborn;Estratégia;Bethesda Game Studios;2021;PC
Red Dead Redemption Odyssey;Battle Royale;Epic Games;2022;PC
Minecraft Chronicles;Terror;Nintendo;1990;Mobile
Red Dead Redemption Infinity;Terror;Mojang;2002;Xbox
Fall Guys Legends;Battle Royale;Square Enix;2017;Xbox
Hades Saga;Simulação;Blizzard Entertainment;2012;Nintendo Switch
The Witcher Infinity;Aventura;Mojang;2002;Xbox 360
Red Dead Redemption Origins;Aventura;Valve;1994;PlayStation 3
Hollow Knight Saga;FPS;Ubisoft;2000;PlayStation
Grand Theft Auto Odyssey;Terror;FromSoftware;2007;Xbox Series X
Diablo Infinity;Puzzle;Supercell;2006;Xbox Series X
Among Us Odyssey;Puzzle;CD Projekt Red;1985;Wii U
Dota 2 Saga;RPG;Supercell;2021;PlayStation 3
Hollow Knight Saga;Esporte;Blizzard Entertainment;1985;Wii U
Fortnite Adventure;RPG;Epic Games;2007;PC
Grand Theft Auto Legends;RPG;FromSoftware;1993;Nintendo Switch
Stardew Valley Reborn;Sandbox;Nintendo;2009;Nintendo Switch
Cyberpunk Infinity;Battle Royale;Bungie;1996;PlayStation
Minecraft Adventure;MMORPG;Santa Monica Studio;1998;Xbox Series X
The Legend of Zelda Adventure;Simulação;Rockstar Games;2022;Xbox 360
Assassin's Creed Infinity;Battle Royale;Epic Games;2022;Xbox
Assassin's Creed Adventure;Simulação;Rockstar Games;1996;Wii U
PUBG Infinity;Terror;Nintendo;2019;Xbox
Stardew Valley Origins;Estratégia;Bungie;2012;PC
Cyberpunk Origins;Corrida;FromSoftware;2013;Xbox 360
Minecraft Chronicles;Aventura;Blizzard Entertainment;1997;Xbox 360
Valorant Saga;Battle Royale;Blizzard Entertainment;2018;Xbox 360
The Sims Reborn;Corrida;Square Enix;2020;PC
EVE Online Origins;Terror;Bungie;2008;Mobile
Diablo Saga;Puzzle;Epic Games;1992;Xbox Series X
Among Us Origins;RPG;CD Projekt Red;2016;Xbox Series X
The Legend of Zelda Origins;Esporte;Supercell;2017;Xbox 360
Fortnite Origins;FPS;Bungie;2002;PlayStation 3
Diablo Reborn;MMORPG;Blizzard Entertainment;1987;PlayStation 5
Overwatch Origins;RPG;Activision;2012;Nintendo Switch
League of Legends Origins;Esporte;Santa Monica Studio;2006;Wii U
Diablo Legends;Estratégia;Activision;2005;PlayStation
Overwatch Origins;Terror;Mojang;1996;PlayStation 3
God of War Infinity;Esporte;Activision;1999;Xbox Series X
EVE Online Chronicles;Battle Royale;CD Projekt Red;2008;PC
The Legend of Zelda Legends;FPS;Bungie;1992;Xbox
The Legend of Zelda Infinity;MMORPG;Supercell;2006;PlayStation
Hollow Knight Odyssey;Ação;Nintendo;2010;Xbox Series X
EVE Online Saga;MMORPG;Rockstar Games;1993;PlayStation 3
Valorant Legends;MMORPG;Valve;2013;Nintendo Switch
Apex Legends Reborn;Puzzle;Square Enix;1999;Mobile
League of Legends Origins;Battle Royale;Blizzard Entertainment;2006;PlayStation 3
Diablo Origins;Battle Royale;Activision;1994;PlayStation
Valorant Chronicles;Battle Royale;Rockstar Games;1994;Xbox 360
Red Dead Redemption Chronicles;Aventura;Valve;1999;PC
Among Us Reborn;Puzzle;Mojang;2003;Mobile
Fall Guys Adventure;Simulação;Ubisoft;2012;PC
Among Us Saga;Estratégia;Valve;2011;Mobile
Minecraft Chronicles;Ação;Nintendo;2000;PlayStation
Fortnite Adventure;Battle Royale;Nintendo;2005;Wii U
League of Legends Origins;Battle Royale;Nintendo;2017;Xbox Series X
Fortnite Adventure;Aventura;Blizzard Entertainment;2023;PlayStation 2
Red Dead Redemption Odyssey;Estratégia;Square Enix;2020;Xbox
Stardew Valley Origins;FPS;Ubisoft;2017;Nintendo Switch
Call of Duty Legends;Ação;Nintendo;1992;Wii U
Elden Ring Infinity;Estratégia;Mojang;2011;PlayStation 2
The Sims Legends;Terror;Supercell;2019;PlayStation 2
Assassin's Creed Odyssey;Puzzle;Blizzard Entertainment;1997;PlayStation 3
Minecraft Legends;Ação;Valve;2010;PlayStation 5
Cyberpunk Odyssey;Terror;Blizzard Entertainment;2005;PlayStation
Fall Guys Legends;Terror;CD Projekt Red;1991;PlayStation
Cyberpunk Saga;Puzzle;Valve;1988;PlayStation
Diablo Chronicles;Aventura;Santa Monica Studio;1994;Xbox Series X
God of War Chronicles;MMORPG;Epic Games;1986;Xbox 360
League of Legends Origins;Simulação;FromSoftware;2001;Nintendo Switch
Stardew Valley Saga;Aventura;Bungie;2014;Wii U
Overwatch Saga;RPG;CD Projekt Red;2015;Mobile
Stardew Valley Origins;MMORPG;Blizzard Entertainment;2006;Xbox 360
Fortnite Adventure;Ação;Santa Monica Studio;1999;Xbox Series X
Apex Legends Origins;Battle Royale;Bethesda Game Studios;1986;Xbox 360
Stardew Valley Infinity;Sandbox;Valve;2023;Xbox 360
Hollow Knight Reborn;Sandbox;Mojang;1989;PlayStation 2
League of Legends Adventure;Esporte;Nintendo;1995;Mobile
PUBG Saga;Sandbox;Bungie;1993;PlayStation 2
Grand Theft Auto Saga;Battle Royale;Supercell;2011;PlayStation 3
Valorant Reborn;RPG;Rockstar Games;2002;PC
League of Legends Reborn;Terror;Rockstar Games;1997;Nintendo Switch
God of War Adventure;Sandbox;Ubisoft;2015;PlayStation
The Sims Legends;FPS;Blizzard Entertainment;2000;Xbox
Hades Odyssey;Aventura;Rockstar Games;2023;Mobile
Stardew Valley Reborn;Sandbox;Nintendo;1993;PlayStation 3
Elden Ring Legends;Corrida;Activision;2007;Mobile
Call of Duty Infinity;Sandbox;Bethesda Game Studios;1998;Xbox
Cyberpunk Saga;Corrida;Square Enix;1996;PlayStation 3
Red Dead Redemption Legends;Sandbox;Ubisoft;1989;Xbox
PUBG Adventure;Estratégia;Valve;2018;PC
Apex Legends Infinity;Esporte;Santa Monica Studio;1989;Nintendo Switch
Dota 2 Origins;Estratégia;CD Projekt Red;2004;PlayStation 2
Fortnite Reborn;Estratégia;Supercell;2000;Xbox Series X
Fortnite Saga;Estratégia;Square Enix;1986;Wii U
Grand Theft Auto Origins;Terror;CD Projekt Red;1994;PlayStation
Red Dead Redemption Saga;MMORPG;Nintendo;2016;PlayStation 5
Valorant Saga;FPS;Bethesda Game Studios;2018;Nintendo Switch
Fall Guys Reborn;RPG;Epic Games;2003;Xbox
Among Us Chronicles;MMORPG;Rockstar Games;1990;Xbox
Valorant Infinity;Simulação;Activision;1989;PlayStation 2
Elden Ring Chronicles;Estratégia;Epic Games;2022;Xbox 360
Overwatch Adventure;RPG;Rockstar Games;2015;PlayStation 5
Cyberpunk Origins;Sandbox;Epic Games;2007;PlayStation
Among Us Reborn;Battle Royale;Blizzard Entertainment;2013;Wii U
PUBG Odyssey;Estratégia;FromSoftware;2016;PC
Valorant Odyssey;RPG;Supercell;2014;Mobile
The Witcher Odyssey;Terror;Blizzard Entertainment;1996;Xbox 360
Hollow Knight Adventure;Estratégia;CD Projekt Red;2007;PlayStation 3
Apex Legends Chronicles;Sandbox;Santa Monica Studio;1987;Nintendo Switch
The Sims Origins;Battle Royale;Square Enix;2012;PlayStation 3
Call of Duty Saga;Sandbox;Mojang;2008;Wii U
The Legend of Zelda Legends;FPS;Blizzard Entertainment;2015;Mobile
Cyberpunk Odyssey;Corrida;FromSoftware;2021;Xbox
The Sims Adventure;Terror;Mojang;2017;PlayStation 3
Elden Ring Chronicles;Aventura;FromSoftware;2000;Xbox 360
Assassin's Creed Saga;Sandbox;Blizzard Entertainment;1996;PC
Fortnite Odyssey;FPS;Square Enix;2002;Xbox
God of War Reborn;MMORPG;Santa Monica Studio;1991;PlayStation 2
Elden Ring Legends;Estratégia;Square Enix;2023;PlayStation 2
League of Legends Adventure;Corrida;CD Projekt Red;2017;PC
Fortnite Legends;FPS;Supercell;2004;Xbox
Among Us Legends;Sandbox;Rockstar Games;2005;Xbox Series X
Apex Legends Legends;RPG;Activision;1998;Xbox
The Witcher Legends;RPG;Nintendo;2005;Wii U
Apex Legends Reborn;Simulação;Supercell;2019;PC
The Legend of Zelda Legends;Simulação;Santa Monica Studio;2016;Wii U
League of Legends Saga;MMORPG;Square Enix;2022;PlayStation 5
Grand Theft Auto Origins;MMORPG;Nintendo;1985;PlayStation 2
The Sims Odyssey;Sandbox;Ubisoft;2000;Xbox Series X
Assassin's Creed Saga;Sandbox;Valve;2004;Nintendo Switch
Hollow Knight Chronicles;MMORPG;Ubisoft;1992;PC
Dota 2 Origins;Corrida;Bethesda Game Studios;2001;Wii U
EVE Online Saga;Corrida;FromSoftware;2001;Xbox
God of War Reborn;Ação;Rockstar Games;2017;Wii U
Valorant Odyssey;Terror;Santa Monica Studio;1990;PlayStation 5
League of Legends Origins;Terror;Activision;1999;Nintendo Switch
Call of Duty Saga;Battle Royale;CD Projekt Red;2018;Wii U
PUBG Reborn;Puzzle;Nintendo;2019;Mobile
Hollow Knight Reborn;Ação;Epic Games;1999;Nintendo Switch
Minecraft Infinity;RPG;Bethesda Game Studios;1994;Xbox 360
Hollow Knight Reborn;Ação;Supercell;1990;Mobile
Elden Ring Saga;Sandbox;Rockstar Games;2003;PlayStation 2
Apex Legends Reborn;Esporte;Rockstar Games;1990;Xbox 360
Red Dead Redemption Saga;Esporte;Bethesda Game Studios;2022;PlayStation 5
EVE Online Odyssey;RPG;Square Enix;2006;Xbox 360
Valorant Origins;Terror;Bethesda Game Studios;1998;PlayStation 2
Diablo Legends;Aventura;CD Projekt Red;2019;PlayStation
Red Dead Redemption Origins;Estratégia;Ubisoft;1997;PlayStation 3
Elden Ring Infinity;Simulação;Bethesda Game Studios;2003;PC
God of War Adventure;Corrida;Mojang;1991;PlayStation 5
Assassin's Creed Adventure;Terror;Valve;1989;PlayStation
Cyberpunk Origins;Aventura;Activision;2010;PlayStation 2
Call of Duty Reborn;Corrida;Bungie;2003;PlayStation 3
Fortnite Chronicles;Aventura;Ubisoft;1997;PlayStation 5
Valorant Legends;Aventura;Ubisoft;1993;PC
Overwatch Saga;Terror;Nintendo;1996;PlayStation 2
Grand Theft Auto Saga;Puzzle;CD Projekt Red;2009;PlayStation 2
The Legend of Zelda Origins;Terror;Santa Monica Studio;2014;PC
PUBG Odyssey;MMORPG;Square Enix;1999;Xbox
Call of Duty Origins;Terror;Square Enix;2020;Xbox 360
Dota 2 Infinity;Simulação;Nintendo;2018;PlayStation 3
The Sims Chronicles;Battle Royale;Epic Games;2018;Mobile
EVE Online Origins;Ação;Ubisoft;2010;PlayStation 3
Red Dead Redemption Saga;Esporte;Supercell;2007;PlayStation 5
Diablo Odyssey;Terror;Valve;2005;Xbox 360
The Legend of Zelda Reborn;Terror;CD Projekt Red;2020;Xbox
PUBG Odyssey;FPS;Nintendo;2013;Wii U
Call of Duty Origins;Ação;Bungie;1992;Nintendo Switch
Fortnite Saga;Corrida;FromSoftware;1995;PlayStation 3
Cyberpunk Origins;Esporte;Square Enix;1989;Wii U
League of Legends Legends;Estratégia;FromSoftware;1987;PC
Overwatch Infinity;Estratégia;FromSoftware;2023;Wii U
Among Us Legends;Corrida;Rockstar Games;2004;Wii U
God of War Legends;Esporte;Bungie;2017;PlayStation 3
Diablo Reborn;Aventura;Ubisoft;2003;Wii U
Red Dead Redemption Infinity;Terror;Valve;2011;Xbox Series X
The Witcher Odyssey;MMORPG;Nintendo;1999;Mobile
Overwatch Legends;Terror;Mojang;1993;PlayStation
Overwatch Origins;RPG;Blizzard Entertainment;2021;Xbox Series X
Assassin's Creed Saga;Estratégia;FromSoftware;1994;PlayStation 5
Stardew Valley Saga;Sandbox;Bungie;2009;PC
Among Us Reborn;Ação;Rockstar Games;1987;PC
The Witcher Reborn;Battle Royale;Mojang;2019;Wii U
Diablo Reborn;Ação;Epic Games;2021;Xbox Series X
Fall Guys Legends;Puzzle;Bethesda Game Studios;2019;PlayStation 5
Red Dead Redemption Reborn;MMORPG;Bungie;1996;PlayStation
Valorant Odyssey;Esporte;Nintendo;2014;Nintendo Switch
Cyberpunk Adventure;Esporte;Activision;1996;PlayStation 2
The Witcher Infinity;Estratégia;FromSoftware;2003;Xbox 360
Cyberpunk Legends;Sandbox;Rockstar Games;2012;Wii U
Assassin's Creed Chronicles;Puzzle;Santa Monica Studio;2010;Mobile
Hollow Knight Reborn;FPS;Nintendo;2022;Xbox Series X
Fall Guys Adventure;Terror;Square Enix;1996;Wii U
Among Us Infinity;Puzzle;Activision;1991;Wii U
Grand Theft Auto Odyssey;Sandbox;Activision;2008;PlayStation 5
Diablo Saga;Aventura;Square Enix;2023;PlayStation
God of War Infinity;Terror;Square Enix;2004;Xbox Series X
Valorant Adventure;RPG;Bethesda Game Studios;2007;Xbox
Valorant Infinity;Battle Royale;Rockstar Games;1999;Xbox 360
The Legend of Zelda Infinity;Estratégia;Bethesda Game Studios;1990;PlayStation 5
Hollow Knight Reborn;RPG;Rockstar Games;2021;Nintendo Switch
PUBG Reborn;Aventura;Ubisoft;1989;Wii U
The Witcher Odyssey;RPG;CD Projekt Red;1985;PlayStation 3
Elden Ring Adventure;Ação;Epic Games;1997;Xbox Series X
Diablo Reborn;Estratégia;CD Projekt Red;1998;PlayStation 2
Hades Origins;Ação;CD Projekt Red;1997;Xbox
Elden Ring Reborn;Puzzle;Valve;1991;PC
The Sims Legends;Corrida;CD Projekt Red;2002;PlayStation 3
Fall Guys Infinity;Esporte;Ubisoft;2007;Mobile
Fall Guys Chronicles;Ação;Mojang;2015;Xbox Series X
Red Dead Redemption Reborn;Battle Royale;Supercell;1990;Xbox
Fortnite Saga;MMORPG;Rockstar Games;2002;Wii U
Call of Duty Origins;Estratégia;Bethesda Game Studios;2017;PlayStation 5
Valorant Chronicles;Sandbox;CD Projekt Red;2016;Xbox 360
EVE Online Odyssey;Corrida;Valve;2001;Nintendo Switch
PUBG Legends;FPS;Bethesda Game Studios;1989;Xbox
Fall Guys Odyssey;Puzzle;Santa Monica Studio;2016;PlayStation 3
EVE Online Saga;Simulação;Santa Monica Studio;2005;PlayStation 3
League of Legends Legends;Battle Royale;Bungie;1993;Nintendo Switch
Diablo Origins;FPS;Rockstar Games;2012;Xbox 360
Hollow Knight Legends;Sandbox;Epic Games;2001;Wii U
Elden Ring Chronicles;Esporte;Mojang;1994;Wii U
Apex Legends Infinity;Simulação;Valve;2004;Xbox
Overwatch Infinity;Puzzle;Supercell;1995;PlayStation 2
Call of Duty Reborn;Ação;FromSoftware;1995;PlayStation 5
Call of Duty Legends;Estratégia;Epic Games;2006;Mobile
Hollow Knight Legends;Ação;Epic Games;1985;Nintendo Switch
Hollow Knight Origins;Battle Royale;Square Enix;2010;PlayStation 5
Cyberpunk Saga;Terror;Square Enix;2000;Wii U
Stardew Valley Adventure;RPG;Rockstar Games;2001;Mobile
Minecraft Legends;Simulação;Rockstar Games;2010;Mobile
EVE Online Chronicles;FPS;Nintendo;1994;Nintendo Switch
Elden Ring Odyssey;Ação;Square Enix;2002;Mobile
EVE Online Saga;Estratégia;Mojang;1987;Xbox
Overwatch Saga;MMORPG;Santa Monica Studio;2013;Mobile
EVE Online Infinity;Simulação;Mojang;1992;PC
Among Us Chronicles;MMORPG;Santa Monica Studio;1990;Mobile
The Sims Adventure;FPS;CD Projekt Red;1992;Xbox
Call of Duty Infinity;Battle Royale;FromSoftware;2015;PlayStation 5
Minecraft Odyssey;MMORPG;Valve;2020;Mobile
Fall Guys Legends;Battle Royale;Activision;2000;PlayStation 2
Red Dead Redemption Saga;Terror;FromSoftware;1995;Mobile
Hades Odyssey;Puzzle;Ubisoft;1998;PlayStation
Call of Duty Odyssey;FPS;Santa Monica Studio;2009;PlayStation 3
Fortnite Reborn;Battle Royale;Valve;2009;PlayStation 5
Hollow Knight Saga;FPS;Valve;2002;PC
The Sims Odyssey;RPG;CD Projekt Red;1987;Wii U
Cyberpunk Infinity;Battle Royale;Supercell;1996;PlayStation 5
Grand Theft Auto Reborn;Esporte;Square Enix;2021;PC
God of War Odyssey;Simulação;Rockstar Games;1986;PC
Diablo Adventure;FPS;Ubisoft;2022;PlayStation 2
God of War Adventure;Esporte;Ubisoft;2014;Xbox
Minecraft Infinity;Ação;Mojang;2008;Nintendo Switch
Among Us Odyssey;MMORPG;Supercell;2022;PlayStation 2
Hollow Knight Adventure;FPS;Rockstar Games;1993;Xbox Series X
God of War Chronicles;Terror;Santa Monica Studio;2009;PC
League of Legends Saga;FPS;Valve;2017;Mobile
PUBG Odyssey;FPS;Bungie;1989;Xbox
Fall Guys Origins;Sandbox;Bungie;2005;PlayStation 3
League of Legends Saga;Ação;Ubisoft;2016;PC
Grand Theft Auto Adventure;Esporte;Santa Monica Studio;2006;PlayStation 5
The Legend of Zelda Infinity;Corrida;Epic Games;2021;Wii U
EVE Online Adventure;Estratégia;Epic Games;2006;PlayStation 5
League of Legends Saga;Esporte;Valve;2010;Nintendo Switch
Hollow Knight Saga;Terror;Nintendo;2005;PlayStation 3
Minecraft Infinity;Sandbox;CD Projekt Red;1986;PC
Overwatch Saga;FPS;Epic Games;2020;Mobile
Fall Guys Reborn;FPS;Bethesda Game Studios;2002;PlayStation 5
Hades Reborn;Simulação;FromSoftware;2023;PlayStation
Fortnite Infinity;RPG;Epic Games;2008;Xbox
The Witcher Reborn;Sandbox;Activision;2005;PlayStation 2
Fortnite Legends;Aventura;CD Projekt Red;2013;Xbox
Overwatch Chronicles;Aventura;Blizzard Entertainment;2020;PlayStation 5
Minecraft Reborn;Ação;Mojang;2001;Mobile
Hades Adventure;Sandbox;Rockstar Games;1986;Mobile
Hades Legends;FPS;Nintendo;2007;PC
Stardew Valley Odyssey;Puzzle;Supercell;2002;PlayStation 5
The Witcher Odyssey;Estratégia;Nintendo;1999;Xbox Series X
Fall Guys Legends;Sandbox;Supercell;2005;Nintendo Switch
Grand Theft Auto Chronicles;Ação;CD Projekt Red;2008;PlayStation
Red Dead Redemption Saga;Puzzle;Valve;1992;Xbox
The Legend of Zelda Reborn;Terror;Santa Monica Studio;1987;Mobile
Stardew Valley Legends;Puzzle;Santa Monica Studio;1987;PlayStation 5
EVE Online Saga;Corrida;Mojang;2023;PlayStation 2
EVE Online Reborn;RPG;Santa Monica Studio;2017;Wii U
Hollow Knight Legends;Aventura;Supercell;2004;PC
Diablo Origins;Estratégia;Supercell;1990;Mobile
God of War Legends;RPG;Epic Games;2022;Wii U
League of Legends Saga;Battle Royale;Bungie;2020;Wii U
The Legend of Zelda Reborn;FPS;Nintendo;1998;Xbox Series X
Assassin's Creed Odyssey;Terror;Valve;1995;PlayStation 3
Hollow Knight Saga;Esporte;Blizzard Entertainment;2017;PlayStation 2
League of Legends Saga;FPS;CD Projekt Red;1989;PlayStation
Minecraft Odyssey;Sandbox;Epic Games;1993;PlayStation 2
Overwatch Legends;Esporte;Activision;2002;Xbox
Call of Duty Adventure;Ação;Valve;2022;Mobile
Hollow Knight Saga;MMORPG;Bungie;2016;Wii U
God of War Infinity;Battle Royale;Nintendo;2008;Nintendo Switch
The Witcher Odyssey;Simulação;Activision;1988;PlayStation 3
Fall Guys Adventure;Terror;Mojang;2022;PC
Cyberpunk Saga;RPG;Valve;2015;PC
Dota 2 Odyssey;Terror;Nintendo;2005;Xbox 360
Hollow Knight Saga;Aventura;Valve;1999;Xbox 360
Hollow Knight Adventure;Terror;Mojang;1991;Mobile
Hollow Knight Origins;Estratégia;Activision;1997;PlayStation
God of War Reborn;Puzzle;FromSoftware;2005;PC
Stardew Valley Infinity;Simulação;Rockstar Games;2017;PlayStation 3
Fall Guys Origins;Puzzle;Bethesda Game Studios;1992;PlayStation 5
Minecraft Odyssey;MMORPG;Activision;1992;PlayStation
PUBG Odyssey;Estratégia;Blizzard Entertainment;2015;PlayStation
PUBG Saga;MMORPG;Valve;1991;PlayStation 2
The Legend of Zelda Saga;Corrida;CD Projekt Red;2009;Wii U
Among Us Infinity;FPS;Activision;2004;Wii U
Red Dead Redemption Chronicles;Terror;Activision;2021;PlayStation 3
Red Dead Redemption Origins;Battle Royale;Epic Games;1999;PlayStation 3
The Legend of Zelda Odyssey;Sandbox;CD Projekt Red;1999;Nintendo Switch
EVE Online Legends;Estratégia;Mojang;2006;PlayStation 3
Elden Ring Odyssey;Terror;FromSoftware;1989;Nintendo Switch
League of Legends Odyssey;Esporte;Supercell;1998;Nintendo Switch
Among Us Origins;Ação;Epic Games;2023;PlayStation
Grand Theft Auto Legends;Aventura;Valve;1986;Xbox
Cyberpunk Odyssey;MMORPG;Blizzard Entertainment;1994;Mobile
Elden Ring Chronicles;Sandbox;Square Enix;1997;PC
Call of Duty Legends;Terror;Blizzard Entertainment;1985;Mobile
The Legend of Zelda Reborn;Corrida;Supercell;2019;Xbox 360
